LEVEL,code,name,full_name,cname,full_cname,lower_cname
2,2LVA,Latvia,Republic of Latvia,拉脱维亚,拉脱维亚共和国,republic of latvia
2,2MCO,Monaco,The Principality of Monaco,摩纳哥,摩纳哥公国,the principality of monaco
2,2MDA,Moldavia,The Republic of Moldova,摩尔多瓦,摩尔多瓦共和国,the republic of moldova
2,2MKD,Macedonia,The Republic of Macedonia,马其顿,马其顿共和国,the republic of macedonia
2,2MLT,Malta,Republic of Malta,马耳他,马耳他共和国,republic of malta
2,2NLD,Netherlands,The Kingdom of Netherlands,荷兰,尼德兰王国,the kingdom of netherlands
2,2NOR,Norway,The Kingdom of Norway,挪威,挪威王国,the kingdom of norway
2,2POL,Poland,The Republic of Poland,波兰,波兰共和国,the republic of poland
2,2PRT,Portugal,"Portugal,the Portuguese Republic",葡萄牙,葡萄牙共和国,"portugal,the portuguese republic"
2,2ROU,Romania,Romania,罗马尼亚,罗马尼亚,romania
2,2RUS,Russia,Russian Federation,俄罗斯联邦,俄罗斯联邦,russian federation
2,2SMR,San Marino,The Republic of San Marino,圣马力诺,圣马力诺共和国,the republic of san marino
2,2SVK,Slovak,The Slovak Republic,斯洛伐克,斯洛伐克共和国,the slovak republic
2,2SVN,Slovenia,The Republic of Slovenia,斯洛文尼亚,斯洛文尼亚共和国,the republic of slovenia
2,2SWE,Sweden,The Kingdom of Sweden,瑞典,瑞典王国,the kingdom of sweden
2,2UKR,Ukraine,Ukraine,乌克兰,乌克兰,ukraine
2,2VAT,Vatican City State,Vatican City State,梵蒂冈城国,梵蒂冈城国,vatican city state
2,3AGO,Angola,the Republic of Angola,安哥拉,安哥拉共和国,the republic of angola
2,3BDI,Burundi,The Republic of Burundi,布隆迪,布隆迪共和国,the republic of burundi
2,3BEN,Benin,the Republic of Benin ,贝宁,贝宁共和国,the republic of benin 
2,3BFA,Burkina Faso,Burkina Faso,布基纳法索,布基纳法索,burkina faso
2,3BWA,Botswana,The Republic of Botswana,博茨瓦纳,博茨瓦纳共和国,the republic of botswana
2,3CAF,Central African,The Central African Republic,中非,中非共和国,the central african republic
2,3CIV,Cote d'lvoire,the Republic of Cote d'ivoire,科特迪瓦,科特迪瓦共和国,the republic of cote d'ivoire
2,3CMR,Cameroon,the Republic of Cameroon,喀麦隆,喀麦隆共和国,the republic of cameroon
2,3COD,DR Congo,Democratic Republic of the Congo,民主刚果,刚果民主共和国,democratic republic of the congo
2,3COG,Congo,Republic of the Congo,刚果,刚果共和国,republic of the congo
2,3COM,Comoros,Union of Comoros,科摩罗,科摩罗联盟,union of comoros
2,3CPV,Cape Verde,The Republic of Cape Verde,佛得角,佛得角共和国,the republic of cape verde
2,3DJI,Djibouti,The Republic of Djibouti,吉布提,吉布提共和国,the republic of djibouti
2,3DZA,Algeria,People's Democratic Republic of Algeria,阿尔及利亚,阿尔及利亚民主人民共和国,people's democratic republic of algeria
2,3EGY,Egypt,the Arab Republic of Egypt ,埃及,阿拉伯埃及共和国,the arab republic of egypt 
2,3ERI,Eritrea,the Commonwealth of Eritrea,厄立特里亚,厄立特里亚国,the commonwealth of eritrea
2,3ETH,Ethiopia,The Federal Democratic Republic of Ethiopia,埃塞俄比亚,埃塞俄比亚联邦民主共和国,the federal democratic republic of ethiopia
2,3GAB,Gabon,The Gabonese Republic,加蓬,加蓬共和国,the gabonese republic
2,3GHA,Ghana,The Republic of Ghana,加纳,加纳共和国,the republic of ghana
2,3GIN,Guinea,The Republic of Guinea,几内亚,几内亚共和国,the republic of guinea
2,3GMB,Gambia,Islamic Republic of Gambia,冈比亚,冈比亚伊斯兰共和国,islamic republic of gambia
2,3GNB,Guinea Bissau,The Republic of Guinea-Bissau,几内亚比绍,几内亚比绍共和国,the republic of guinea-bissau
2,3KEN,Kenya,The Republic of Kenya,肯尼亚,肯尼亚共和国,the republic of kenya
2,3LBR,Liberia,The Republic of Liberia,利比里亚,利比里亚共和国,the republic of liberia
2,3LBY,Libyan Arab Jm,State of Libya,利比亚,利比亚国,state of libya
2,3LSO,Lesotho,The Kingdom of Lesotho,莱索托,莱索托王国,the kingdom of lesotho
2,3MAR,Morocco,The Kingdom of Morocco,摩洛哥,摩洛哥王国,the kingdom of morocco
2,3MDG,Madagascar,the Republic of Madagascar ,马达加斯加,马达加斯加共和国,the republic of madagascar 
2,3MLI,Mali,The Republic of Mali,马里,马里共和国,the republic of mali
2,3MOZ,Mozambique,The Republic of Mozambique,莫桑比克,莫桑比克共和国,the republic of mozambique
2,3MRT,Mauritania,The Islamic Republic of Mauritania,毛里塔尼亚,毛里塔尼亚伊斯兰共和国,the islamic republic of mauritania
2,3MUS,Mauritius,the Republic of Mauritius,毛里求斯,毛里求斯共和国,the republic of mauritius
2,3MWI,Malawi,The Republic of Malawi,马拉维,马拉维共和国,the republic of malawi
2,3MYT,Mayotte,Territorial Collectivity of Mayotte,马约特岛,马约特岛,territorial collectivity of mayotte
2,3NAM,Namibia,The Republic of Namibia,纳米比亚,纳米比亚共和国,the republic of namibia
2,3NER,Niger,The Republic of Niger,尼日尔,尼日尔共和国,the republic of niger
2,3NGA,Nigeria,Federal Republic of Nigeria,尼日利亚,尼日利亚联邦共和国,federal republic of nigeria
2,3REU,Reunion,Reunion Island,留尼汪,留尼汪岛,reunion island
2,3RWA,Rwanda,the Republic of Rwanda,卢旺达,卢旺达共和国,the republic of rwanda
2,3SDN,Sudan,The Republic of Sudan,苏丹,苏丹共和国,the republic of sudan
2,3SEN,Senegal,the Republic of Senegal,塞内加尔,塞内加尔共和国,the republic of senegal
2,3SLE,Sierra Leone,The Republic of Sierra Leone,塞拉利昂,塞拉利昂共和国,the republic of sierra leone
2,3SOM,Somalia,The Somalia Democratic Republic,索马里,索马里联邦共和国,the somalia democratic republic
2,3STP,Sao Tome and Principe,the Democratic Republic Sao Tome and Principe,圣多美和普林西比,圣多美和普林西比民主共和国,the democratic republic sao tome and principe
2,3SWZ,Swaziland,The Kingdom of Swaziland,斯威士兰,斯威士兰王国,the kingdom of swaziland
2,3SYC,Seychelles,the Republic of Seychelles,塞舌尔,塞舌尔共和国,the republic of seychelles
2,3TCD,Chad,The Republic of Chad,乍得,乍得共和国,the republic of chad
2,3TGO,Togo,The Republic of Togo,多哥,多哥共和国,the republic of togo
2,3TUN,Tunisia,The Republic of Tunisia,突尼斯,突尼斯共和国,the republic of tunisia
2,3TZA,Tanzania,The United Republic of Tanzania,坦桑尼亚,坦桑尼亚联合共和国,the united republic of tanzania
2,3UGA,Uganda,The Republic of Uganda,乌干达,乌干达共和国,the republic of uganda
2,3ZAF,South Africa,The Republic of South Africa,南非,南非共和国,the republic of south africa
2,3ZMB,Zambia,The Republic of Zambia,赞比亚,赞比亚共和国,the republic of zambia
2,3ZWE,Zimbabwe,the Republic of Zimbabwe,津巴布韦,津巴布韦共和国,the republic of zimbabwe
2,4AUS,Australia,The Commonwealth of Australia,澳大利亚,澳大利亚联邦,the commonwealth of australia
2,4COK,Cook Is,The Cook Islands,库克群岛,库克群岛,the cook islands
2,4FJI,Fiji,The Republic of Fiji,斐济,斐济共和国,the republic of fiji
2,4FSM,Micronesia,Federated States of Micronesia,密克罗尼西亚联邦,密克罗尼西亚联邦,federated states of micronesia
2,4KIR,Kiribati,The Republic of Kiribati,基里巴斯,基里巴斯共和国,the republic of kiribati
2,4MHL,Marshall Is Rep,The Republic of Marshall Island ,马绍尔群岛,马绍尔群岛共和国,the republic of marshall island 
2,4NCL,New Caledonia,New Caledonia,新喀里多尼亚,新喀里多尼亚,new caledonia
2,4NRU,Nauru,The Republic of Nauru,瑙鲁,瑙鲁共和国,the republic of nauru
2,4NZL,New Zealand,New Zealand,新西兰,新西兰,new zealand
2,4PLW,Palau,The Republic of Palau,帕劳,帕劳共和国,the republic of palau
2,4PNG,Papua New Guinea,The Independent State of Papua New Guinea,巴布亚新几内亚,巴布亚新几内亚独立国,the independent state of papua new guinea
2,4PYF,French Polynesia,French Polynesia,法属玻利尼西亚,法属波利尼西亚,french polynesia
2,4SLB,Solomon Is,Solomon Islands,所罗门群岛,所罗门群岛,solomon islands
2,4TON,Tonga,The Kingdom of Tonga,汤加,汤加王国,the kingdom of tonga
2,4TUV,Tuvalu,Tuvalu,图瓦卢,图瓦卢,tuvalu
2,4VUT,Vanuatu,Republic of Vanuatu,瓦努阿图,瓦努阿图共和国,republic of vanuatu
2,4WSM,Samoa,The Independent State of Samoa,萨摩亚,萨摩亚独立国,the independent state of samoa
2,6BMU,Bermuda,Bermuda,百慕大,百慕大群岛,bermuda
2,6CAN,Canada,Canada,加拿大,加拿大,canada
2,6CRI,Costa Rica,Republic of Costa Rica,哥斯达黎加,哥斯达黎加共和国,republic of costa rica
2,6CUB,Cuba,The Republic of Cuba,古巴,古巴共和国,the republic of cuba
2,6DMA,Dominica,The Commonwealth of Dominica,多米尼克,多米尼克国,the commonwealth of dominica
2,6DOM,Dominican,The Dominican Republic,多米尼加,多米尼加共和国,the dominican republic
2,6GRL,Greenland,Greenland,格陵兰,格陵兰,greenland
2,6GTM,Guatemala,The Republic of Guatemala,危地马拉,危地马拉共和国,the republic of guatemala
2,6HND,Honduras,Republic of Honduras,洪都拉斯,洪都拉斯共和国,republic of honduras
2,6MEX,Mexico,The United States of Mexico,墨西哥,墨西哥合众国,the united states of mexico
2,6NIC,Nicaragua,The Republic of Nicaragua,尼加拉瓜,尼加拉瓜共和国,the republic of nicaragua
2,6PAN,Panama,The Republic of Panama,巴拿马,巴拿马共和国,the republic of panama
2,6PRI,Puerto Rico,The Commonwealth of Puerto Rico,波多黎各,波多黎各自由邦,the commonwealth of puerto rico
2,6SLV,El Salvador,The Republic of El Salvador,萨尔瓦多,萨尔瓦多共和国,the republic of el salvador
2,6USA,United States,The United States of America,美国,美利坚合众国,the united states of america
2,6VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,圣文森特和格纳丁斯,圣文森特和格林纳丁斯,saint vincent and the grenadines
2,7ABW,Aruba,Aruba,阿鲁巴岛,阿鲁巴,aruba
2,7ANT,Netherlands Antilles,Netherlands Antilles,荷属安地列斯群岛,荷属安地列斯群岛,netherlands antilles
2,7ARG,Argentina,The Republic of Argentina,阿根廷,阿根廷共和国,the republic of argentina
2,7ATG,Antigua and Barbuda,Antigua and Barbuda,安提瓜和巴布达,安提瓜和巴布达,antigua and barbuda
2,7BHS,Bahamas,The Commonwealth of The Bahamas,巴哈马,巴哈马国,the commonwealth of the bahamas
2,7BLZ,Belize,Belize,伯利兹,伯利兹,belize
2,7BOL,Bolivia,The Republic of Bolivia,玻利维亚,玻利维亚共和国,the republic of bolivia
2,7BRA,Brazil,The Federative Republic of Brazil,巴西,巴西联邦共和国,the federative republic of brazil
2,7BRB,Barbados,Barbados,巴巴多斯,巴巴多斯,barbados
2,7CHL,Chile,Republic of Chile,智利,智利共和国,republic of chile
2,7COL,Colombia,The Republic of Colombia,哥伦比亚,哥伦比亚共和国,the republic of colombia
2,7CYM,Cayman Is,Cayman Islands,开曼群岛,开曼群岛,cayman islands
2,7ECU,Ecuador,The Republic of Ecuador,厄瓜多尔,厄瓜多尔共和国,the republic of ecuador
2,7GRD,Grenada,Grenada,格林纳达,格林纳达,grenada
2,7GUY,Guyana,The Republic of Guyana,圭亚那,圭亚那共和国,the republic of guyana
2,7HTI,Haiti,The Republic of Haiti,海地,海地共和国,the republic of haiti
2,7JAM,Jamaica,Jamaica,牙买加,牙买加,jamaica
2,7KNA,St Kitts-Nevis,The Federation of Saint Kitts and Nevis,圣其茨-尼维斯,圣基茨和尼维斯联邦,the federation of saint kitts and nevis
2,7MSR,Montserrat,Montserrat,蒙特塞拉特,蒙特塞拉特岛,montserrat
2,7MTQ,Martinique,Martinique,马提尼克,马提尼克岛,martinique
2,7PER,Peru,The Republic of Peru,秘鲁,秘鲁共和国,the republic of peru
2,7PRY,Paraguay,The Republic of Paraguay,巴拉圭,巴拉圭共和国,the republic of paraguay
2,7SPM,St.Pierre and Miquelon,The Islands of st pierre and miquelon,圣皮埃尔和密克隆,圣皮埃尔和密克隆群岛,the islands of st pierre and miquelon
2,7SUR,Suriname,The Republic of Suriname,苏里南,苏里南共和国,the republic of suriname
2,7TTO,Trinidad and Tobago,Republic of Trinidad and Tobago,特立尼达和多巴哥,特立尼达和多巴哥共和国,republic of trinidad and tobago
2,7URY,Uruguay,The Oriental Republic of Uruguay,乌拉圭,乌拉圭东岸共和国,the oriental republic of uruguay
2,7VEN,Venezuela,Bolivarian Republic of Venezuela,委内瑞拉,委内瑞拉玻利瓦尔共和国,bolivarian republic of venezuela
3,0ASM000,,,,,
3,0SCG000,,,,,
3,1AFG000,,,,,
3,1ARE000,,,,,
3,1BGD000,,,,,
3,1BHR000,,,,,
3,1CHN011,Beijing,,北京,,beijing
3,1CHN012,Tianjin,,天津,,tianjin
3,1CHN013,Hebei,,河北,,hebei
3,1CHN014,Shanxi,,山西,,shanxi
3,1CHN015,Inner Mongolia,,内蒙古,,inner mongolia
3,1CHN021,Liaoning,,辽宁,,liaoning
3,1CHN022,Jilin,,吉林,,jilin
3,1CHN023,Heilongjiang,,黑龙江,,heilongjiang
3,1CHN031,Shanghai,,上海,,shanghai
3,1CHN032,Jiangsu,,江苏,,jiangsu
3,1CHN033,Zhejiang,,浙江,,zhejiang
3,1CHN034,Anhui,,安徽,,anhui
3,1CHN035,Fujian,,福建,,fujian
3,1CHN036,Jiangxi,,江西,,jiangxi
3,1CHN037,Shandong,,山东,,shandong
3,1CHN041,Henan,,河南,,henan
3,1CHN042,Hubei,,湖北,,hubei
3,1CHN043,Hunan,,湖南,,hunan
3,1CHN044,Guangdong,,广东,,guangdong
3,1CHN045,Guangxi,,广西,,guangxi
3,1CHN046,Hainan,,海南,,hainan
3,1CHN050,Chongqing,,重庆,,chongqing
3,1CHN051,Sichuan,,四川,,sichuan
3,1CHN052,Guizhou,,贵州,,guizhou
3,1CHN053,Yunnan,,云南,,yunnan
3,1CHN054,Tibet,,西藏,,tibet
3,1CHN061,Shaanxi,,陕西,,shaanxi
3,1CHN062,Gansu,,甘肃,,gansu
3,1CHN063,Qinghai,,青海,,qinghai
3,1CHN064,Ningxia,,宁夏,,ningxia
3,1CHN065,Xinjiang,,新疆,,xinjiang
3,1CHN071,Taiwan,,台湾,,taiwan
3,1CHN081,Hongkong,,香港,,hongkong
3,1CHN082,Macao,,澳门,,macao
3,1IDN000,,,,,
3,1IND000,,,,,
3,1ISR000,,,,,
3,1JOR000,,,,,
3,1JPN000,,,,,
3,1KAZ000,,,,,
3,1KGZ000,,,,,
3,1KHM000,,,,,
3,1KOR011,,,首尔,,
3,1KOR026,,,釜山,,
3,1KOR027,Daegu,,大邱,,daegu
3,1KOR028,,,仁川,,
3,1KOR029,,,光州,,
3,1KOR030,,,大田,,
3,1KOR031,,,蔚山,,
3,1KOR041,,,济州特别自治道,,
3,1KOR042,Gangwon-do,,江原道,,gangwon-do
3,1KOR043,Chungcheongbuk-do,,庆尚北道,,chungcheongbuk-do
3,1KOR044,Chungcheongnam-do,,庆尚南道,,chungcheongnam-do
3,1KOR045,Jeollabuk-do,,忠清北道,,jeollabuk-do
3,1KOR046,Jeollanam-do,,忠清南道,,jeollanam-do
3,1KOR047,Gyeongsangbuk-do,,全罗北道,,gyeongsangbuk-do
3,1KOR048,Gyeongsangnam-do,,全罗南道,,gyeongsangnam-do
3,1KOR049,Gyeonggi-do,,京畿道,,gyeonggi-do
3,1LAO000,,,,,
3,1LBN000,,,,,
3,1LKA000,,,,,
3,1MDV000,,,,,
3,1MMR000,,,,,
3,1MNG000,,,,,
3,1MYS0JH,Johor,,柔佛,,johor
3,1MYS0KD,Kedah,,吉打,,kedah
3,1MYS0KL,Kuala Lumpur,,吉隆坡,,kuala lumpur
3,1MYS0KN,Kelantan,,吉兰丹,,kelantan
3,1MYS0LB,Labuan,,纳闽,,labuan
3,1MYS0ML,Malacca,,马六甲,,malacca
3,1MYS0NS,Negeri Sembilan,,森美兰,,negeri sembilan
3,1MYS0PG,Pahang,,彭亨,,pahang
3,1MYS0PH,Pulau Pinang,,槟榔屿,,pulau pinang
3,1MYS0PK,Perak,,霹雳,,perak
3,1MYS0PS,Perlis,,玻璃市,,perlis
3,1MYS0SB,Sabah,,沙巴,,sabah
3,1MYS0SL,Selangor,,雪兰莪,,selangor
3,1MYS0SR,Sarawak,,沙捞越,,sarawak
3,1MYS0TR,Terengganu,,丁加奴,,terengganu
3,1NPL000,,,,,
3,1OMN000,,,,,
3,1PAK000,,,,,
3,1PHL000,,,,,
3,1PRK000,,,,,
3,1PSE000,,,,,
3,1QAT000,,,,,
3,1SAU000,,,,,
3,1SYR000,,,,,
3,1THA000,,,,,
3,1TJK000,,,,,
3,1TKM000,,,,,
3,1TLS000,,,,,
3,1TUR000,,,,,
3,1UZB000,,,,,
3,1VNM000,,,,,
3,1YEM000,,,,,
3,2ALB000,,,,,
3,2AND000,,,,,
3,2ARM000,,,,,
3,2AUT000,,,,,
3,2AZE000,,,,,
3,2BEL000,,,,,
3,2BGR000,,,,,
3,2BIH000,,,,,
3,2BLR000,,,,,
3,2CHE000,,,,,
3,2CYP000,,,,,
3,2CZE000,,,,,
3,2DEU000,,,,,
3,2DNK000,,,,,
3,2ESP000,,,,,
3,2EST000,,,,,
3,2FIN000,,,,,
3,2FRA000,,,,,
3,2GBRENG,England,,英格兰,,england
3,2GBRNIR,Northern Ireland,,北爱尔兰,,northern ireland
3,2GBRSCT,Scotland,,苏格兰,,scotland
3,2GBRWLS,Wales,,威尔士,,wales
3,2GRC000,,,,,
3,2HRV000,,,,,
3,2HUN000,,,,,
3,2IRL000,,,,,
3,2ITA000,,,,,
3,2LTU000,,,,,
3,2LUX000,,,,,
3,2LVA000,,,,,
3,2NLD000,,,,,
3,2NOR000,,,,,
3,2POL000,,,,,
3,2PRT000,,,,,
3,2ROU000,,,,,
3,2RUS000,,,,,
3,2SVK000,,,,,
3,2SVN000,,,,,
3,2SWE000,,,,,
3,2UKR000,,,,,
3,3AGO000,,,,,
3,3BDI000,,,,,
3,3BEN000,,,,,
3,3BFA000,,,,,
3,3CAF000,,,,,
3,3CIV000,,,,,
3,3CMR000,,,,,
3,3CPV000,,,,,
3,3DJI000,,,,,
3,3DZA000,,,,,
3,3EGY000,,,,,
3,3ERI000,,,,,
3,3ETH000,,,,,
3,3GAB000,,,,,
3,3GHA000,,,,,
3,3GIN000,,,,,
3,3KEN000,,,,,
